variant,test_case,seed_count,mean_predicted_life,true_life,mean_life_abs_error,mean_wear_mae_um,mean_k_factor
T3_fixed_k,Run11.xlsx,1,23204.320881910444,23918.706127369696,714.3852454592525,0.05196110370378737,1.0
T3_fixed_k,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T3_fixed_k,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T3_fixed_k,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s0p25_c0p05_d0p1,Run11.xlsx,1,23441.761390018433,23918.706127369696,476.94473735126303,0.022574864066166562,0.9914422486001501
T4_dynk_s0p25_c0p05_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s0p25_c0p05_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s0p25_c0p05_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s0p25_c0p15_d0p1,Run11.xlsx,1,23441.761390018433,23918.706127369696,476.94473735126303,0.022574864066166562,0.9914422486001501
T4_dynk_s0p25_c0p15_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s0p25_c0p15_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s0p25_c0p15_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s0p25_c0p1_d0p1,Run11.xlsx,1,23441.761390018433,23918.706127369696,476.94473735126303,0.022574864066166562,0.9914422486001501
T4_dynk_s0p25_c0p1_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s0p25_c0p1_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s0p25_c0p1_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s0p25_c0p2_d0p1,Run11.xlsx,1,23441.761390018433,23918.706127369696,476.94473735126303,0.022574864066166562,0.9914422486001501
T4_dynk_s0p25_c0p2_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s0p25_c0p2_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s0p25_c0p2_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s0p5_c0p05_d0p1,Run11.xlsx,1,23679.125056200242,23918.706127369696,239.58107116945393,0.01496103018964798,0.9830627836877972
T4_dynk_s0p5_c0p05_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s0p5_c0p05_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s0p5_c0p05_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s0p5_c0p15_d0p1,Run11.xlsx,1,23679.125056200242,23918.706127369696,239.58107116945393,0.01496103018964798,0.9830627836877972
T4_dynk_s0p5_c0p15_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s0p5_c0p15_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s0p5_c0p15_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s0p5_c0p1_d0p1,Run11.xlsx,1,23679.125056200242,23918.706127369696,239.58107116945393,0.01496103018964798,0.9830627836877972
T4_dynk_s0p5_c0p1_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s0p5_c0p1_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s0p5_c0p1_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s0p5_c0p2_d0p1,Run11.xlsx,1,23679.125056200242,23918.706127369696,239.58107116945393,0.01496103018964798,0.9830627836877972
T4_dynk_s0p5_c0p2_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s0p5_c0p2_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s0p5_c0p2_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s0p75_c0p05_d0p1,Run11.xlsx,1,23876.41575912389,23918.706127369696,42.29036824580544,0.03200762666269193,0.976208897019001
T4_dynk_s0p75_c0p05_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s0p75_c0p05_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s0p75_c0p05_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s0p75_c0p15_d0p1,Run11.xlsx,1,23916.485940464147,23918.706127369696,2.220186905549781,0.037917388710858584,0.974856091247864
T4_dynk_s0p75_c0p15_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s0p75_c0p15_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s0p75_c0p15_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s0p75_c0p1_d0p1,Run11.xlsx,1,23916.485940464147,23918.706127369696,2.220186905549781,0.037917388710858584,0.974856091247864
T4_dynk_s0p75_c0p1_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s0p75_c0p1_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s0p75_c0p1_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s0p75_c0p2_d0p1,Run11.xlsx,1,23916.485940464147,23918.706127369696,2.220186905549781,0.037917388710858584,0.974856091247864
T4_dynk_s0p75_c0p2_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s0p75_c0p2_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s0p75_c0p2_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s1_c0p05_d0p1,Run11.xlsx,1,23943.71503999053,23918.706127369696,25.008912620833144,0.03722290446627703,0.9736532337037962
T4_dynk_s1_c0p05_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s1_c0p05_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s1_c0p05_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s1_c0p15_d0p1,Run11.xlsx,1,24153.841222069754,23918.706127369696,235.13509470005738,0.06893202571665794,0.966816882327113
T4_dynk_s1_c0p15_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s1_c0p15_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s1_c0p15_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s1_c0p1_d0p1,Run11.xlsx,1,24153.841222069754,23918.706127369696,235.13509470005738,0.06893202571665794,0.966816882327113
T4_dynk_s1_c0p1_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s1_c0p1_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s1_c0p1_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s1_c0p2_d0p1,Run11.xlsx,1,24153.841222069754,23918.706127369696,235.13509470005738,0.06893202571665794,0.966816882327113
T4_dynk_s1_c0p2_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s1_c0p2_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s1_c0p2_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
