model,variant,test_case,seed,epochs,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,stage,candidate,test_files
FNN,T0_baseline_5d,Run11.xlsx,20260420,1600,4.567492961883545,5.33773946762085,0.0464445278048515,0.0271368091777469,24098.482145550668,23918.706127369696,179.77601818097173,0.0075161263834107,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run25.xlsx,20260420,1600,4.516686916351318,5.013431549072266,0.0324436537921428,0.0975370507913774,21837.05264792304,22834.36330453385,997.3106566108108,0.0436758688346169,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run28.xlsx,20260420,1600,2.1035866737365723,2.5447115898132324,0.0231236014515161,0.0666182750736503,40792.49667461889,42449.22900678442,1656.732332165535,0.0390285611995626,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run4.xlsx,20260420,1600,8.374021530151367,8.65723705291748,0.0493582785129547,0.1701400776646519,35368.7004323712,38722.98916828896,3354.288735917755,0.0866226706140922,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run11.xlsx,20260420,1600,1.2777645587921145,1.431773066520691,0.0133180851116776,0.1058531946697866,22535.417482337805,23918.706127369696,1383.288645031891,0.0578329211315081,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run25.xlsx,20260420,1600,2.181131362915039,2.6279122829437256,0.0149391070008277,0.0718964651969407,22319.57414118397,22834.36330453385,514.7891633498803,0.0225444938614805,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run28.xlsx,20260420,1600,2.1466760635375977,2.59305477142334,0.0251255258917808,0.0926308650518331,39758.3586986795,42449.22900678442,2690.8703081049243,0.06339032229949,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run4.xlsx,20260420,1600,3.9568588733673096,4.395482540130615,0.024664731696248,0.0459467733412806,38212.79102838316,38722.98916828896,510.1981399057986,0.0131755877029144,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run11.xlsx,20260420,1600,1.2703092098236084,1.5325942039489746,0.0128247598186135,0.0648071830906221,22975.22031254148,23918.706127369696,943.4858148282184,0.039445520581425,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run25.xlsx,20260420,1600,1.873012661933899,2.310734748840332,0.0135044651105999,0.0376022500017737,22875.0176646813,22834.36330453385,40.65436014745137,0.001780402615359,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run28.xlsx,20260420,1600,1.805547833442688,2.1359102725982666,0.0212143156677484,0.0716525372002859,40398.9198251804,42449.22900678442,2050.309181604025,0.0483002690408425,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run4.xlsx,20260420,1600,2.284511089324951,2.7587192058563232,0.0143597489222884,0.0739314840515479,37571.12045925019,38722.98916828896,1151.8687090387684,0.0297463789283616,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
1D-CNN,T0_baseline_5d,Run11.xlsx,20260420,1600,4.042787075042725,4.297250747680664,0.0422229506075382,0.0127831146685649,24051.450514267723,23918.706127369696,132.74438689802628,0.0055498147011442,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
1D-CNN,T0_baseline_5d,Run25.xlsx,20260420,1600,9.78823184967041,11.812132835388184,0.061997652053833,0.1943724187848442,24495.82307760635,22834.36330453385,1661.4597730725,0.0727613794575393,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
1D-CNN,T0_baseline_5d,Run28.xlsx,20260420,1600,4.228362083435059,4.687446117401123,0.0453873462975025,0.0940423546745941,40811.15787390291,42449.22900678442,1638.071132881516,0.0385889489917405,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
1D-CNN,T0_baseline_5d,Run4.xlsx,20260420,1600,7.114722728729248,7.647186279296875,0.0414032228291034,0.1557299060426031,36692.34096478436,38722.98916828896,2030.6482035045992,0.0524403783674721,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run11.xlsx,20260420,1600,1.0506956577301023,1.3013389110565186,0.0113558396697044,0.0877443003492147,22816.09364804716,23918.706127369696,1102.612479322539,0.0460983329721519,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run25.xlsx,20260420,1600,1.229218602180481,1.5650737285614014,0.0089660352095961,0.037165960717657,22858.11525884444,22834.36330453385,23.75195431058819,0.0010401846547598,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run28.xlsx,20260420,1600,2.076669692993164,2.3948068618774414,0.0226754061877727,0.0793055911048029,40430.90210655245,42449.22900678442,2018.326900231972,0.0475468447238321,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run4.xlsx,20260420,1600,6.585457801818848,6.682839393615723,0.0393996350467205,0.0111293935934299,39027.194611691775,38722.98916828896,304.20544340281776,0.0078559390671197,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run11.xlsx,20260421,1600,3.145292997360229,4.116542339324951,0.0265902411192655,0.0253609366635522,23447.74325392788,23918.706127369696,470.96287344181474,0.019690148410783,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run25.xlsx,20260421,1600,4.677950859069824,5.068882465362549,0.0324181541800498,0.0580495130788174,23466.913716090672,22834.36330453385,632.5504115568219,0.0277016881583567,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run28.xlsx,20260421,1600,4.249242305755615,5.169446468353272,0.0423811301589012,0.0730603685310172,41193.71688269993,42449.22900678442,1255.5121240844892,0.029576794525145,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run4.xlsx,20260421,1600,3.909546375274658,4.801311016082764,0.0215492919087409,0.1324739974606357,36310.50458881367,38722.98916828896,2412.484579475291,0.0623010937763793,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run11.xlsx,20260421,1600,0.9739812612533568,1.2850449085235596,0.010587622411549,0.0717808438635721,22962.017218364366,23918.706127369696,956.68890900533,0.039997519260066,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run25.xlsx,20260421,1600,1.9044262170791624,2.376440525054932,0.0134049169719219,0.0440809848102265,22701.781176609213,22834.36330453385,132.58212792463746,0.0058062546415871,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run28.xlsx,20260421,1600,2.1514835357666016,2.6095900535583496,0.0253497473895549,0.0857506026892955,39860.41056988209,42449.22900678442,2588.8184369023293,0.0609862298438582,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run4.xlsx,20260421,1600,4.61067533493042,5.108819484710693,0.0287975035607814,0.0387525918448334,38425.04722608391,38722.98916828896,297.9419422050487,0.007694187577054,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run11.xlsx,20260421,1600,1.4616692066192627,1.8585436344146729,0.0148493442684412,0.0629763197303016,23147.874498229805,23918.706127369696,770.8316291398914,0.0322271457759934,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run25.xlsx,20260421,1600,1.8151500225067136,2.102353096008301,0.0130349770188331,0.048647628546087,22573.85234809069,22834.36330453385,260.51095644315865,0.0114087243409774,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run28.xlsx,20260421,1600,2.082401752471924,2.440720319747925,0.0221063289791345,0.0319976856797594,41370.01161524314,42449.22900678442,1079.217391541286,0.0254237218623876,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run4.xlsx,20260421,1600,4.506039142608643,4.794336795806885,0.0275732260197401,0.0343328340983071,38411.60155743362,38722.98916828896,311.3876108553377,0.0080414146103767,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
1D-CNN,T0_baseline_5d,Run11.xlsx,20260421,1600,3.2107741832733154,3.819849967956543,0.0360528491437435,0.0253767663849796,23993.32856784784,23918.706127369696,74.62244047814238,0.0031198360011937,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
1D-CNN,T0_baseline_5d,Run25.xlsx,20260421,1600,4.427452087402344,4.925686359405518,0.0304434541612863,0.0942739346362077,24031.90222754475,22834.36330453385,1197.5389230108997,0.052444594449153,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
1D-CNN,T0_baseline_5d,Run28.xlsx,20260421,1600,4.759951114654541,6.4822916984558105,0.0433790981769561,0.1521624667835764,39006.38001730755,42449.22900678442,3442.848989476872,0.0811051006115239,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
1D-CNN,T0_baseline_5d,Run4.xlsx,20260421,1600,2.0503244400024414,2.5078439712524414,0.0123508460819721,0.0706475537323395,37367.51348954943,38722.98916828896,1355.4756787395308,0.0350044174753316,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run11.xlsx,20260421,1600,1.2355592250823977,1.7414331436157229,0.0138653190806508,0.0675159091185605,23174.080935899958,23918.706127369696,744.6251914697423,0.0311314996515502,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run25.xlsx,20260421,1600,3.000363349914551,3.544759511947632,0.020064078271389,0.0770042172791487,22248.73133284668,22834.36330453385,585.6319716871694,0.0256469586594906,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run28.xlsx,20260421,1600,2.24017071723938,2.58647084236145,0.0255226213485002,0.0808370065228918,39934.00167937511,42449.22900678442,2515.227327409309,0.0592526033160063,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run4.xlsx,20260421,1600,2.6876766681671143,3.5994443893432617,0.0141646768897771,0.1165414302106093,36944.94414787016,38722.98916828896,1778.0450204187946,0.0459170394282183,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer_R1+slow,T3_R1_plus_slow,Run11.xlsx,20260520,1600,2.3909060955047607,2.969887971878052,0.0208608377724885,0.1102524692708427,22701.67933343343,23918.706127369696,1217.0267939362675,0.0508817988504674,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer_R1+slow,T3_R1_plus_slow,Run25.xlsx,20260520,1600,4.617470741271973,5.293058395385742,0.0324451886117458,0.042674707912277,22767.947435294,22834.36330453385,66.41586923984869,0.0029085929988098,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer_R1+slow,T3_R1_plus_slow,Run28.xlsx,20260520,1600,2.9741835594177246,3.4411075115203857,0.0331036373972892,0.0752643432622775,43595.41035245904,42449.22900678442,1146.1813456746168,0.0270012288207031,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer_R1+slow,T3_R1_plus_slow,Run4.xlsx,20260520,1600,1.5096063613891602,1.8479877710342407,0.0092965168878436,0.0579495587857777,37887.040062974826,38722.98916828896,835.9491053141319,0.02158792808275,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer_R1+slow,T3_R1_plus_slow,Run11.xlsx,20260521,1600,2.059727668762207,2.4794514179229736,0.0190855748951435,0.0966743794347693,22857.91737859112,23918.706127369696,1060.7887487785774,0.0443497546702469,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer_R1+slow,T3_R1_plus_slow,Run25.xlsx,20260521,1600,3.445187568664551,4.126769542694092,0.0248269587755203,0.0430828809273636,22648.39114784259,22834.36330453385,185.97215669125944,0.0081443986070911,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer_R1+slow,T3_R1_plus_slow,Run28.xlsx,20260521,1600,2.36597204208374,2.793286085128784,0.0252069160342216,0.0248875501884982,41980.877195210815,42449.22900678442,468.3518115736079,0.0110332230415481,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer_R1+slow,T3_R1_plus_slow,Run4.xlsx,20260521,1600,3.62189507484436,3.8239433765411377,0.0212506409734487,0.0272427407780166,38371.35535107743,38722.98916828896,351.6338172115284,0.0090807508605117,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
